env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
indoor,C0,20,12,900,120,0,0,1,27,40,37,0.925,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,28,40,39,0.975,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,29,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C0,20,12,900,120,0,0,1,30,40,40,1,1.48779,nan,0,0,nan,18000,18000,1,0,0,nan,nan,
indoor,C1,20,7,900,120,600,1200,1,1,112,105,0.9375,0.0616134,0.0616134,99,92,0.929293,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,2,107,103,0.962617,0.0616134,0.0616134,96,92,0.958333,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,3,114,107,0.938596,0.0616134,0.0616134,100,93,0.93,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,4,111,105,0.945946,0.0616134,0.0616134,97,92,0.948454,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,5,107,103,0.962617,0.0616134,0.0616134,95,92,0.968421,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,6,115,110,0.956522,0.0616134,0.0616134,99,94,0.949495,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,7,109,107,0.981651,0.0616134,0.0616134,95,93,0.978947,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,8,115,112,0.973913,0.0616134,0.0616134,98,95,0.969388,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,9,114,108,0.947368,0.0616134,0.0616134,102,96,0.941176,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,10,110,105,0.954545,0.0616134,0.0616134,97,92,0.948454,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,11,113,111,0.982301,0.0616134,0.0616134,97,95,0.979381,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,12,108,102,0.944444,0.0616134,0.0616134,96,90,0.9375,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,13,108,104,0.962963,0.0616134,0.0616134,98,94,0.959184,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,14,113,109,0.964602,0.0616134,0.0616134,99,95,0.959596,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,15,110,107,0.972727,0.0616134,0.0616134,97,95,0.979381,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,16,111,105,0.945946,0.0616134,0.0616134,97,91,0.938144,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,17,110,104,0.945455,0.0616134,0.0616134,96,89,0.927083,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,18,111,107,0.963964,0.0616134,0.0616134,96,94,0.979167,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,19,108,101,0.935185,0.0616134,0.0616134,96,90,0.9375,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,20,113,111,0.982301,0.0616134,0.0616134,100,99,0.99,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,21,110,103,0.936364,0.0616134,0.0616134,95,88,0.926316,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,22,110,107,0.972727,0.0616134,0.0616134,96,93,0.96875,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,23,107,99,0.925234,0.0616134,0.0616134,96,89,0.927083,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,24,107,100,0.934579,0.0616134,0.0616134,99,92,0.929293,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,25,113,98,0.867257,0.0616134,0.0616133,99,86,0.868687,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,26,111,102,0.918919,0.0616134,0.0616134,95,87,0.915789,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,27,111,103,0.927928,0.0616134,0.0616134,95,87,0.915789,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,28,110,107,0.972727,0.0616134,0.0616134,95,93,0.978947,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,29,109,108,0.990826,0.0616134,0.0616134,96,95,0.989583,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,7,900,120,600,1200,1,30,105,101,0.961905,0.0616134,0.0616134,96,92,0.958333,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,1,109,98,0.899083,1.48779,1.48779,81,72,0.888889,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,2,106,99,0.933962,1.48779,1.48779,81,75,0.925926,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,3,113,101,0.893805,1.48779,1.48779,80,71,0.8875,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,4,108,105,0.972222,1.48779,1.48779,80,78,0.975,18000,11500,0.638889,6000,0,0,21,
